Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
24-06-2023;CF2;C07;CAT 797 B;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;692,8079834;2;ESPERANZA
24-06-2023;CF2;C08;CAT 797 B;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;1039,211975;3;ESPERANZA
24-06-2023;CF2;C09;CAT 797 B;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;346,4039917;1;ESPERANZA
24-06-2023;CF2;C10;CAT 797 B;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;346,4039917;1;ESPERANZA
24-06-2023;CF2;C11;CAT 797 B;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;692,8079834;2;ESPERANZA
24-06-2023;CF2;C12;CAT 797 B;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;346,4039917;1;ESPERANZA
24-06-2023;CF2;C130;CAT 793 C;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;216,4360046;1;ESPERANZA
24-06-2023;CF2;C131;CAT 793 C;Lastre Oxidado;ESP/F07/2104/7100;FASE 7;BOT_2380_INT;216,4360046;1;ESPERANZA
24-06-2023;CF2;C131;CAT 793 C;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;216,4360046;1;ESPERANZA
24-06-2023;CF2;C134;CAT 793 C;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK-FIERROS;216,4360046;1;ESPERANZA
24-06-2023;CF2;C135;CAT 793 C;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;432,8729858;2;ESPERANZA
24-06-2023;CF2;C15;CAT 797 B;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;346,4039917;1;ESPERANZA
24-06-2023;CF2;C15;CAT 797 B;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK-FIERROS;346,4039917;1;ESPERANZA
24-06-2023;CF2;C153;CAT 793 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;216,4360046;1;ESPERANZA
24-06-2023;CF2;C156;CAT 793 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;865,7450256;4;ESPERANZA
24-06-2023;CF2;C159;CAT 793 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;216,4360046;1;ESPERANZA
24-06-2023;CF2;C160;CAT 793 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;649,3089905;3;ESPERANZA
24-06-2023;CF2;C161;CAT 793 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;432,8729858;2;ESPERANZA
24-06-2023;CF2;C163;CAT 793 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;649,3089905;3;ESPERANZA
24-06-2023;CF2;C18;CAT 797 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;692,8079834;2;ESPERANZA
24-06-2023;CF2;C19;CAT 797 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;346,4039917;1;ESPERANZA
24-06-2023;CF2;C20;CAT 797 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;1039,209961;3;ESPERANZA
24-06-2023;CF2;C22;CAT 797 F;Sulfuro de Media;ESP/F08/1768/R800;FASE 8;STOCK_SME;346,4039917;1;ESPERANZA
