Fecha;Carguio;Camión;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
22-06-2023;CF2;C07;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;346,4039917;1;ESPERANZA
22-06-2023;CF2;C08;CAT 797 B;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_CENTRAL_SUR_INF;346,4039917;1;ESPERANZA
22-06-2023;CF2;C09;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;1039,211975;3;ESPERANZA
22-06-2023;CF2;C09;CAT 797 B;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_CENTRAL_SUR_INF;692,8079834;2;ESPERANZA
22-06-2023;CF2;C09;CAT 797 B;Sulfuro Planta;STOCK_SPL_DIN;ESPERANZA;CHANCADO-SULFURO;692,8079834;2;ESPERANZA
22-06-2023;CF2;C10;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;1039,209961;3;ESPERANZA
22-06-2023;CF2;C10;CAT 797 B;Sulfuro Planta;STOCK_SPL_DIN;ESPERANZA;CHANCADO-SULFURO;1039,209961;3;ESPERANZA
22-06-2023;CF2;C11;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT_CENTRAL_SUR_INF;346,4039917;1;ESPERANZA
22-06-2023;CF2;C11;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;346,4039917;1;ESPERANZA
22-06-2023;CF2;C11;CAT 797 B;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_CENTRAL_SUR_INF;346,4039917;1;ESPERANZA
22-06-2023;CF2;C11;CAT 797 B;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;346,4039917;1;ESPERANZA
22-06-2023;CF2;C12;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT_CENTRAL_SUR_INF;346,4039917;1;ESPERANZA
22-06-2023;CF2;C12;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;692,8079834;2;ESPERANZA
22-06-2023;CF2;C125;CAT 793 C;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;1298,619995;6;ESPERANZA
22-06-2023;CF2;C125;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT_CENTRAL_SUR_INF;216,4360046;1;ESPERANZA
22-06-2023;CF2;C125;CAT 793 C;Lastre Sulfurado;ESP/F10/2312/1290;FASE 10;BOT-ESTE;216,4360046;1;ESPERANZA
22-06-2023;CF2;C128;CAT 793 C;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT-ESTE;432,8729858;2;ESPERANZA
22-06-2023;CF2;C128;CAT 793 C;Sulfuro Planta;STOCK_SPL_DIN;ESPERANZA;CHANCADO-SULFURO;650,8809814;3;ESPERANZA
22-06-2023;CF2;C13;CAT 797 B;Lastre Sulfurado;ESP/F10/2244/103;FASE 10;BOT_MIJO;346,4039917;1;ESPERANZA
