Fecha;Carguio;Cami¢n;Flota;Material;Origen;Zona;Destino;Tonelaje;Ciclos;Rajo
01-12-2022;CF2;C11;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;381,6530151;1;ESPERANZA
01-12-2022;CF2;C132;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;226;1;ESPERANZA
01-12-2022;CF2;C160;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;452;2;ESPERANZA
01-12-2022;CF2;C39;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;381,6530151;1;ESPERANZA
01-12-2022;CF2;C51;KOM 930 E;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;314,5620117;1;ESPERANZA
01-12-2022;CF2;C52;KOM 930 E;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;314,5620117;1;ESPERANZA
01-12-2022;CF2;C58;KOM 930 E;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;629,1229858;2;ESPERANZA
01-12-2022;CF203;C125;CAT 793 C;LASTRE (LAS);LLA/F01/2348/001;F01 LLA;BOT_MIR;244,2630005;1;LLANO
01-12-2022;CF203;C125;CAT 793 C;LASTRE (LAS);LLA/F01/2348/001;F01 LLA;BOT_MIR_2423_A;5129,52594;21;LLANO
01-12-2022;CF203;C151;CAT 793 F;LASTRE (LAS);LLA/F01/2348/001;F01 LLA;BOT_MIR_2423_A;732,7890015;3;LLANO
01-12-2022;CF203;C152;CAT 793 F;LASTRE (LAS);LLA/F01/2348/001;F01 LLA;BOT_MIR_2423_A;4641,002869;19;LLANO
01-12-2022;CF203;C153;CAT 793 F;LASTRE (LAS);LLA/F01/2348/001;F01 LLA;BOT_MIR;244,2630005;1;LLANO
01-12-2022;CF231;C128;CAT 793 C;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;3731,125092;18;TESORO
01-12-2022;CF231;C128;CAT 793 C;Baja Ley;ST-TS_12;OXIDO;CHANCADO-OXIDO;621,8540039;3;TESORO
01-12-2022;CF231;C129;CAT 793 C;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;414,5700073;2;TESORO
01-12-2022;CF231;C131;CAT 793 C;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;1450,98999;7;TESORO
01-12-2022;CF231;C134;CAT 793 C;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;7047,67395;34;TESORO
01-12-2022;CF231;C134;CAT 793 C;Marginal Alta;ST-TS_05;OXIDO;CHANCADO-OXIDO;1243,709961;6;TESORO
01-12-2022;CF231;C151;CAT 793 F;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;414,506012;2;TESORO
01-12-2022;CF231;C154;CAT 793 F;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;5803,078079;28;TESORO
01-12-2022;CF231;C154;CAT 793 F;Marginal Alta;ST-TS_05;OXIDO;CHANCADO-OXIDO;1036,26001;5;TESORO
01-12-2022;CF231;C156;CAT 793 F;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;207,253006;1;TESORO
01-12-2022;CF231;C159;CAT 793 F;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;1865,27002;9;TESORO
01-12-2022;CF231;C162;CAT 793 F;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;1036,26001;5;TESORO
01-12-2022;CF231;C163;CAT 793 F;Baja Ley;STOCK_FIERRO_F10;OXIDO;CHANCADO-OXIDO;1450,768005;7;TESORO
01-12-2022;CF232;C122;CAT 793 C;Sulfuro Planta;STOCK_SPL_DIN;ESPERANZA;CHANCADO-SULFURO;904,0020142;4;ESPERANZA
01-12-2022;CF232;C132;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;2712,006042;12;ESPERANZA
01-12-2022;CF232;C132;CAT 793 C;Sulfuro Planta;STOCK_SPL_DIN;ESPERANZA;CHANCADO-SULFURO;2260,000977;10;ESPERANZA
01-12-2022;CF232;C159;CAT 793 F;Sulfuro Planta;STOCK_SPL_DIN;ESPERANZA;CHANCADO-SULFURO;1130;5;ESPERANZA
01-12-2022;CF232;C160;CAT 793 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;3616,002991;16;ESPERANZA
01-12-2022;CF232;C160;CAT 793 F;Sulfuro Planta;STOCK_SPL_DIN;ESPERANZA;CHANCADO-SULFURO;7684,012756;34;ESPERANZA
01-12-2022;CF234;C134;CAT 793 C;Marginal Alta;ST-TS_05;OXIDO;CHANCADO-OXIDO;414,5700073;2;TESORO
01-12-2022;CF234;C152;CAT 793 F;LASTRE (LAS);LLA/F01/2348/001;F01 LLA;BOT_MIR_2423_A;488,526001;2;LLANO
01-12-2022;CF234;C162;CAT 793 F;Marginal Alta;ST-TS_05;OXIDO;CHANCADO-OXIDO;621,7579956;3;TESORO
01-12-2022;CF3;C07;CAT 797 B;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_INT_RB;349,5490112;1;ESPERANZA
01-12-2022;CF3;C08;CAT 797 B;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_2380_INT;349,5490112;1;ESPERANZA
01-12-2022;CF3;C10;CAT 797 B;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_2380_INT;349,5490112;1;ESPERANZA
01-12-2022;CF3;C10;CAT 797 B;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_INT_RB;349,5490112;1;ESPERANZA
01-12-2022;CF3;C11;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1144,959961;3;ESPERANZA
01-12-2022;CF3;C12;CAT 797 B;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_INT_CORTO;349,5490112;1;ESPERANZA
01-12-2022;CF3;C12;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;2289,916992;6;ESPERANZA
01-12-2022;CF3;C130;CAT 793 C;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_CORTO;429,0490112;2;ESPERANZA
01-12-2022;CF3;C130;CAT 793 C;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_RB;214,5240021;1;ESPERANZA
01-12-2022;CF3;C132;CAT 793 C;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_CORTO;214,5240021;1;ESPERANZA
01-12-2022;CF3;C132;CAT 793 C;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;226;1;ESPERANZA
01-12-2022;CF3;C14;CAT 797 B;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_INT_CORTO;349,5490112;1;ESPERANZA
01-12-2022;CF3;C14;CAT 797 B;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_RB;349,5490112;1;ESPERANZA
01-12-2022;CF3;C14;CAT 797 B;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;763,3070068;2;ESPERANZA
01-12-2022;CF3;C154;CAT 793 F;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_INT_CORTO;214,5240021;1;ESPERANZA
01-12-2022;CF3;C155;CAT 793 F;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_RB;1287,143997;6;ESPERANZA
01-12-2022;CF3;C156;CAT 793 F;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_2380_INT;214,5240021;1;ESPERANZA
01-12-2022;CF3;C159;CAT 793 F;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_CORTO;214,5240021;1;ESPERANZA
01-12-2022;CF3;C159;CAT 793 F;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_RB;429,0480042;2;ESPERANZA
01-12-2022;CF3;C162;CAT 793 F;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_RB;214,5240021;1;ESPERANZA
01-12-2022;CF3;C163;CAT 793 F;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_RB;214,5240021;1;ESPERANZA
01-12-2022;CF3;C17;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;3053,223083;8;ESPERANZA
01-12-2022;CF3;C22;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;381,6530151;1;ESPERANZA
01-12-2022;CF3;C23;CAT 797 F;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_RB;349,5490112;1;ESPERANZA
01-12-2022;CF3;C25;CAT 797 F;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_2380_INT;349,5490112;1;ESPERANZA
01-12-2022;CF3;C32;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1144,959961;3;ESPERANZA
01-12-2022;CF3;C34;CAT 797 F;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_2380_INT;349,5490112;1;ESPERANZA
01-12-2022;CF3;C37;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;2289,919922;6;ESPERANZA
01-12-2022;CF3;C39;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;763,3060303;2;ESPERANZA
01-12-2022;CF3;C44;CAT 797 F;Sulfuro de Media;STOCK_SME;ESPERANZA;CHANCADO-SULFURO;1908,27002;5;ESPERANZA
01-12-2022;CF3;C47;CAT 797 F;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_2380_INT;699,0980225;2;ESPERANZA
01-12-2022;CF3;C47;CAT 797 F;Lastre Sulfurado;ESP/F07/2184/7250;FASE 7;BOT_INT_CORTO;349,5490112;1;ESPERANZA
01-12-2022;CF3;C49;KOM 930 E;Lastre Oxidado;ESP/F07/2168/707;FASE 7;BOT_2380_INT;288,1010132;1;ESPERANZA
